original_category,chrily_category
beleza_saude,Beauty & Cosmetics
perfumaria,Beauty & Cosmetics
fashion_bolsas_e_acessorios,Fashion & Accessories
fashion_roupa_feminina,Women's Fashion
fashion_roupa_masculina,Men's Fashion
fashion_calcados,Shoes
fashion_esporte,Sportswear
fashion_underwear_e_moda_praia,Underwear & Beachwear
fashion_infantil,Kids' Fashion
cama_mesa_banho,Home & Furniture
moveis_decoracao,Home Decor
moveis_escritorio,Office Furniture
moveis_cozinha_area_de_servico_jantar_e_jardim,Kitchen & Garden
utilidades_domesticas,Home Essentials
eletrodomesticos,Home Appliances
eletrodomesticos_2,Home Appliances
portateis_casa_forno_e_cafe,Small Home Appliances
climatizacao,Heating & Cooling
telefonia,Smartphones
telefonia_fixa,Telecommunications
informatica_acessorios,Electronics
pcs,Computers
tablets_impressao_imagem,Tablets & Printing
eletronicos,Consumer Electronics
audio,Audio Equipment
cine_foto,Cameras & Photography
consoles_games,Gaming
livros_interesse_geral,Books
livros_tecnicos,Books
livros_importados,Books
papelaria,Office & School Supplies
brinquedos,Toys
bebes,Baby Products
original_category,localized_category
alimentos,Food & Grocery
alimentos_bebidas,Food & Beverages
bebidas,Food & Beverages
artes,Arts & Crafts
artigos_de_festas,Party Supplies
artigos_de_natal,Seasonal Decorations
artigos_de_malhas,Textiles
artes_e_artesanato,Handmade Crafts
agro_industria_e_comercio,Agriculture & Industry
casa_conforto,Home & Living
casa_conforto_2,Home & Living
casa_construcao,Home Improvement
construcao_ferramentas_construcao,Construction Tools
construcao_ferramentas_ferramentas,Tools & Hardware
construcao_ferramentas_iluminacao,Lighting
construcao_ferramentas_jardim,Garden Equipment
construcao_ferramentas_seguranca,Security Equipment
cool_stuff,Lifestyle Products
dvds_blu_ray,Movies & Entertainment
eletroportateis,Small Electronics
esporte_lazer,Sports & Outdoors
flores,Flowers & Gifts
fraldas_higiene,Baby Care
industria_comercio_e_negocios,Business Supplies
instrumentos_musicais,Musical Instruments
la_cuisine,Kitchen Essentials
malas_acessorios,Luggage & Travel
market_place,Marketplace Services
moveis_colchao_e_estofado,Mattresses & Sofas
musica,Music
pet_shop,Pet Supplies
relogios_presentes,Watches & Jewelry
seguros_e_servicos,Insurance & Services
sinalizacao_e_seguranca,Safety Equipment
automotivo,Automotive
pecas_automotivas,Auto Parts
